index,time,flow,concentration,segment
0,2019-12-01 00:00:00,0.0,0.0,0
1,2019-12-01 00:15:00,20.0,0.0,1
2,2019-12-01 00:30:00,45.0,0.0,1
3,2019-12-01 00:45:00,60.0,20.0,1
4,2019-12-01 01:00:00,46.0,45.0,1
5,2019-12-01 01:15:00,34.0,60.0,1
6,2019-12-01 01:30:00,21.0,46.0,1
7,2019-12-01 01:45:00,14.0,34.0,1
8,2019-12-01 02:00:00,9.0,21.0,1
9,2019-12-01 02:15:00,4.0,14.0,0
10,2019-12-01 02:30:00,0.0,9.0,0
11,2019-12-01 02:45:00,0.0,4.0,0
12,2019-12-01 03:00:00,0.0,0.0,0
13,2019-12-01 03:15:00,0.0,0.0,0
14,2019-12-01 03:30:00,0.0,0.0,0
15,2019-12-01 03:45:00,0.0,0.0,0
16,2019-12-01 04:00:00,20.0,0.0,2
17,2019-12-01 04:15:00,45.0,0.0,2
18,2019-12-01 04:30:00,60.0,20.0,2
19,2019-12-01 04:45:00,46.0,45.0,2
20,2019-12-01 05:00:00,34.0,60.0,2
21,2019-12-01 05:15:00,21.0,46.0,2
22,2019-12-01 05:30:00,14.0,34.0,2
23,2019-12-01 05:45:00,9.0,21.0,2
24,2019-12-01 06:00:00,4.0,14.0,0
25,2019-12-01 06:15:00,0.0,9.0,0
26,2019-12-01 06:30:00,0.0,4.0,0
27,2019-12-01 06:45:00,0.0,0.0,0
28,2019-12-01 07:00:00,0.0,0.0,0
