Start Time,End Time,Peak Discharge,Peak Concentration,Event Duration (hours),Time to Peak Discharge (hours),Time to peak Concentration (hours),Peak Q to Peak C Offset (hours),Initial Baseflow,Hysteresis Index (HI)
2019-07-13 04:15:00,2019-07-15 17:15:00,468.0,9.1,61.0,27.5,22.25,-5.25,318.0,0.089
2019-07-22 17:00:00,2019-07-24 04:45:00,477.0,27.6,35.75,12.25,6.5,-5.75,345.0,0.05
