index,time,flow,concentration,segment
44,2019-06-25 11:00:00,724.0,45.2,0
0,2019-06-25 00:00:00,422.0,5.1,0
1,2019-06-25 00:15:00,422.0,4.8,0
2,2019-06-25 00:30:00,422.0,4.8,0
3,2019-06-25 00:45:00,422.0,5.1,0
4,2019-06-25 01:00:00,422.0,4.8,0
5,2019-06-25 01:15:00,422.0,5.0,0
6,2019-06-25 01:30:00,422.0,4.9,0
7,2019-06-25 01:45:00,422.0,5.0,0
8,2019-06-25 02:00:00,422.0,4.9,0
9,2019-06-25 02:15:00,422.0,4.9,0
10,2019-06-25 02:30:00,422.0,5.0,0
11,2019-06-25 02:45:00,422.0,5.2,0
12,2019-06-25 03:00:00,418.0,5.3,0
13,2019-06-25 03:15:00,422.0,5.0,0
14,2019-06-25 03:30:00,418.0,4.9,0
15,2019-06-25 03:45:00,418.0,5.0,0
16,2019-06-25 04:00:00,418.0,5.1,0
17,2019-06-25 04:15:00,418.0,5.0,0
18,2019-06-25 04:30:00,418.0,4.9,0
19,2019-06-25 04:45:00,418.0,4.7,0
20,2019-06-25 05:00:00,418.0,4.8,0
21,2019-06-25 05:15:00,418.0,4.8,0
22,2019-06-25 05:30:00,418.0,4.7,0
23,2019-06-25 05:45:00,427.0,4.9,0
24,2019-06-25 06:00:00,562.0,27.6,0
25,2019-06-25 06:15:00,516.0,1100.0,0
26,2019-06-25 06:30:00,521.0,392.0,0
27,2019-06-25 06:45:00,516.0,145.0,0
28,2019-06-25 07:00:00,531.0,79.3,0
29,2019-06-25 07:15:00,552.0,59.6,0
30,2019-06-25 07:30:00,589.0,72.3,0
31,2019-06-25 07:45:00,611.0,60.9,0
32,2019-06-25 08:00:00,645.0,43.4,0
33,2019-06-25 08:15:00,657.0,44.5,0
34,2019-06-25 08:30:00,651.0,59.8,0
35,2019-06-25 08:45:00,651.0,83.5,0
36,2019-06-25 09:00:00,657.0,82.8,0
37,2019-06-25 09:15:00,669.0,73.4,0
38,2019-06-25 09:30:00,699.0,62.5,0
39,2019-06-25 09:45:00,736.0,50.0,0
40,2019-06-25 10:00:00,743.0,43.7,0
41,2019-06-25 10:15:00,743.0,40.5,0
42,2019-06-25 10:30:00,736.0,38.5,0
43,2019-06-25 10:45:00,730.0,43.3,0
45,2019-06-25 11:15:00,724.0,39.1,0
46,2019-06-25 11:30:00,724.0,32.7,0
47,2019-06-25 11:45:00,724.0,29.6,0
48,2019-06-25 12:00:00,717.0,28.6,0
49,2019-06-25 12:15:00,711.0,28.8,0
50,2019-06-25 12:30:00,705.0,28.7,0
51,2019-06-25 12:45:00,699.0,29.0,0
52,2019-06-25 13:00:00,693.0,27.5,0
53,2019-06-25 13:15:00,687.0,25.3,0
54,2019-06-25 13:30:00,687.0,23.1,0
55,2019-06-25 13:45:00,681.0,20.2,0
56,2019-06-25 14:00:00,681.0,18.8,0
57,2019-06-25 14:15:00,681.0,16.9,0
58,2019-06-25 14:30:00,681.0,15.8,0
59,2019-06-25 14:45:00,675.0,14.8,0
60,2019-06-25 15:00:00,675.0,13.8,0
61,2019-06-25 15:15:00,669.0,12.8,0
62,2019-06-25 15:30:00,669.0,12.4,0
63,2019-06-25 15:45:00,669.0,12.1,0
64,2019-06-25 16:00:00,669.0,11.6,0
65,2019-06-25 16:15:00,663.0,11.3,0
66,2019-06-25 16:30:00,657.0,11.1,0
67,2019-06-25 16:45:00,657.0,10.6,0
68,2019-06-25 17:00:00,651.0,10.2,0
69,2019-06-25 17:15:00,645.0,9.6,0
70,2019-06-25 17:30:00,645.0,9.8,0
71,2019-06-25 17:45:00,640.0,9.5,0
72,2019-06-25 18:00:00,634.0,9.6,0
73,2019-06-25 18:15:00,634.0,9.0,0
74,2019-06-25 18:30:00,628.0,8.9,0
75,2019-06-25 18:45:00,628.0,8.7,0
76,2019-06-25 19:00:00,622.0,8.5,0
77,2019-06-25 19:15:00,617.0,8.5,0
78,2019-06-25 19:30:00,611.0,8.4,0
79,2019-06-25 19:45:00,606.0,8.1,0
80,2019-06-25 20:00:00,600.0,8.2,0
81,2019-06-25 20:15:00,595.0,8.4,0
82,2019-06-25 20:30:00,595.0,8.6,0
83,2019-06-25 20:45:00,600.0,8.6,0
84,2019-06-25 21:00:00,584.0,8.9,0
85,2019-06-25 21:15:00,584.0,8.4,0
86,2019-06-25 21:30:00,578.0,8.3,0
87,2019-06-25 21:45:00,573.0,8.4,0
88,2019-06-25 22:00:00,573.0,8.5,0
89,2019-06-25 22:15:00,568.0,8.2,0
90,2019-06-25 22:30:00,562.0,8.2,0
91,2019-06-25 22:45:00,562.0,8.3,0
92,2019-06-25 23:00:00,562.0,8.1,0
93,2019-06-25 23:15:00,557.0,7.9,0
94,2019-06-25 23:30:00,557.0,8.0,0
95,2019-06-25 23:45:00,552.0,8.0,0
